product_id,product_name,product_category,criticality,bom_components,unit_cost_usd
PRD0001,Engine Block 1,Engine Block,High,9,1944.83
PRD0002,Transmission 2,Transmission,Medium,11,4575.83
PRD0003,Brake System 3,Brake System,Critical,8,1071.54
PRD0004,Exhaust System 4,Exhaust System,Critical,5,1938.67
PRD0005,Fuel Injector 5,Fuel Injector,Low,16,3461.96
PRD0006,Control Module 6,Control Module,Critical,9,2866.81
PRD0007,Wiring Harness 7,Wiring Harness,High,6,462.89
PRD0008,Hydraulic Pump 8,Hydraulic Pump,Critical,13,3935.11
PRD0009,Bearing Assembly 9,Bearing Assembly,Critical,10,4144.79
PRD0010,Gear Set 10,Gear Set,Critical,5,2027.03
PRD0011,Sensor Array 11,Sensor Array,Low,12,2392.36
PRD0012,Cooling Fan 12,Cooling Fan,Low,13,2954.0
PRD0013,Battery Pack 13,Battery Pack,Low,13,3675.03
PRD0014,Drive Shaft 14,Drive Shaft,Medium,7,3729.31
PRD0015,Suspension Kit 15,Suspension Kit,Critical,16,2347.59
PRD0016,Engine Block 16,Engine Block,High,14,3487.11
PRD0017,Transmission 17,Transmission,High,5,3123.19
PRD0018,Brake System 18,Brake System,Critical,9,2479.29
PRD0019,Exhaust System 19,Exhaust System,Low,3,2239.15
PRD0020,Fuel Injector 20,Fuel Injector,Medium,4,3388.69
PRD0021,Control Module 21,Control Module,Critical,17,2971.85
PRD0022,Wiring Harness 22,Wiring Harness,Medium,18,141.44
PRD0023,Hydraulic Pump 23,Hydraulic Pump,Critical,5,1278.44
PRD0024,Bearing Assembly 24,Bearing Assembly,Medium,8,745.34
PRD0025,Gear Set 25,Gear Set,Critical,13,1945.46
PRD0026,Sensor Array 26,Sensor Array,High,5,2945.11
PRD0027,Cooling Fan 27,Cooling Fan,Low,18,208.01
PRD0028,Battery Pack 28,Battery Pack,Critical,16,2800.91
PRD0029,Drive Shaft 29,Drive Shaft,Critical,3,4484.92
PRD0030,Suspension Kit 30,Suspension Kit,Low,13,1014.98
PRD0031,Engine Block 31,Engine Block,High,6,1270.57
PRD0032,Transmission 32,Transmission,High,17,1878.27
PRD0033,Brake System 33,Brake System,Medium,8,4668.64
PRD0034,Exhaust System 34,Exhaust System,Critical,5,4127.66
PRD0035,Fuel Injector 35,Fuel Injector,Low,4,2638.55
PRD0036,Control Module 36,Control Module,High,12,2342.73
PRD0037,Wiring Harness 37,Wiring Harness,Critical,18,971.35
PRD0038,Hydraulic Pump 38,Hydraulic Pump,High,15,1676.33
PRD0039,Bearing Assembly 39,Bearing Assembly,Critical,11,2880.07
PRD0040,Gear Set 40,Gear Set,Low,15,217.84
PRD0041,Sensor Array 41,Sensor Array,Low,5,2518.15
PRD0042,Cooling Fan 42,Cooling Fan,Critical,9,859.78
PRD0043,Battery Pack 43,Battery Pack,Medium,13,630.52
PRD0044,Drive Shaft 44,Drive Shaft,Low,6,2286.58
PRD0045,Suspension Kit 45,Suspension Kit,Low,7,339.41
PRD0046,Engine Block 46,Engine Block,Low,7,1992.55
PRD0047,Transmission 47,Transmission,Critical,11,4488.81
PRD0048,Brake System 48,Brake System,Critical,7,155.23
PRD0049,Exhaust System 49,Exhaust System,High,14,2372.47
PRD0050,Fuel Injector 50,Fuel Injector,Critical,15,2240.9
PRD0051,Control Module 51,Control Module,High,6,2605.07
PRD0052,Wiring Harness 52,Wiring Harness,Critical,14,1172.52
PRD0053,Hydraulic Pump 53,Hydraulic Pump,Critical,13,104.5
PRD0054,Bearing Assembly 54,Bearing Assembly,Critical,16,2588.46
PRD0055,Gear Set 55,Gear Set,High,16,3923.7
PRD0056,Sensor Array 56,Sensor Array,Medium,14,4356.77
PRD0057,Cooling Fan 57,Cooling Fan,Critical,14,2909.72
PRD0058,Battery Pack 58,Battery Pack,Critical,7,3823.6
PRD0059,Drive Shaft 59,Drive Shaft,Critical,14,2034.68
PRD0060,Suspension Kit 60,Suspension Kit,High,12,4441.86
