supplier_id,supplier_name,country_code,country_name,continent,category,tier,established_year,annual_capacity_usd,lead_time_days,min_order_qty,risk_band,is_sole_source,certifications
SUP0001,France Packaging Co. 1,FR,France,Europe,Packaging,Tier 2,1991,11898005.06,11,1468,Medium,N,IATF16949
SUP0002,Canada Electronic Ltd 2,CA,Canada,North America,Electronic Components,Tier 2,2011,10373672.14,42,9690,Low,N,"ISO9001,ISO14001"
SUP0003,Turkey Packaging Group 3,TR,Turkey,Europe,Packaging,Tier 1,2009,33198110.85,39,5601,Low,N,IATF16949
SUP0004,United States Plastics Co. 4,US,United States,North America,Plastics,Tier 1,2005,2611247.72,38,174,Medium,Y,IATF16949
SUP0005,Indonesia Packaging Ltd 5,ID,Indonesia,Asia,Packaging,Tier 2,2009,48847238.28,25,2165,Low,N,None
SUP0006,Indonesia Mechanical Group 6,ID,Indonesia,Asia,Mechanical Parts,Tier 2,1991,2334577.36,4,2854,Medium,N,AS9100
SUP0007,Malaysia Electronic Co. 7,MY,Malaysia,Asia,Electronic Components,Tier 1,1999,31060848.49,27,5451,Low,N,ISO14001
SUP0008,Thailand Plastics Ltd 8,TH,Thailand,Asia,Plastics,Tier 1,2014,20501349.37,11,5846,Medium,N,ISO14001
SUP0009,Canada Mechanical Group 9,CA,Canada,North America,Mechanical Parts,Tier 2,2006,6656163.89,10,2403,Medium,Y,ISO14001
SUP0010,Poland Packaging Co. 10,PL,Poland,Europe,Packaging,Tier 2,2000,38643074.06,17,4270,Low,N,"ISO9001,ISO14001"
SUP0011,India Logistics Ltd 11,IN,India,Asia,Logistics,Tier 1,2017,41711400.77,24,3594,Medium,N,AS9100
SUP0012,France Chemicals Group 12,FR,France,Europe,Chemicals,Tier 2,1985,9470659.67,5,6161,Medium,N,ISO14001
SUP0013,Turkey Packaging Co. 13,TR,Turkey,Europe,Packaging,Tier 3,1999,5734561.62,23,3631,Low,N,AS9100
SUP0014,Indonesia Textiles Ltd 14,ID,Indonesia,Asia,Textiles,Tier 1,1984,25405957.62,23,7866,High,Y,"ISO9001,ISO14001"
SUP0015,Italy Textiles Group 15,IT,Italy,Europe,Textiles,Tier 3,1990,14473397.39,41,7259,Low,N,ISO14001
SUP0016,Germany Chemicals Co. 16,DE,Germany,Europe,Chemicals,Tier 3,1998,48250050.91,15,2862,Medium,N,None
SUP0017,United States Textiles Ltd 17,US,United States,North America,Textiles,Tier 1,2005,679104.05,35,8762,Low,Y,"ISO9001,ISO14001"
SUP0018,Canada Mechanical Group 18,CA,Canada,North America,Mechanical Parts,Tier 2,2008,46688034.07,19,6879,Medium,N,None
SUP0019,Canada Logistics Co. 19,CA,Canada,North America,Logistics,Tier 1,1981,49977164.08,22,1288,High,Y,ISO9001
SUP0020,Italy Chemicals Ltd 20,IT,Italy,Europe,Chemicals,Tier 2,2017,28958167.92,15,1690,Medium,N,ISO14001
SUP0021,France Chemicals Group 21,FR,France,Europe,Chemicals,Tier 1,1988,45137496.57,27,6901,High,N,ISO14001
SUP0022,Italy Packaging Co. 22,IT,Italy,Europe,Packaging,Tier 1,2009,28846851.35,27,3059,Medium,N,None
SUP0023,Turkey Mechanical Ltd 23,TR,Turkey,Europe,Mechanical Parts,Tier 1,2014,12358864.7,32,8621,Low,Y,AS9100
SUP0024,South Korea Raw Group 24,KR,South Korea,Asia,Raw Materials,Tier 2,2014,14129958.59,3,9600,Medium,N,ISO14001
SUP0025,China Textiles Co. 25,CN,China,Asia,Textiles,Tier 1,1983,17448291.95,17,9147,Medium,Y,AS9100
SUP0026,Malaysia Packaging Ltd 26,MY,Malaysia,Asia,Packaging,Tier 1,1987,24490747.49,20,4563,Medium,Y,ISO14001
SUP0027,United States Chemicals Group 27,US,United States,North America,Chemicals,Tier 3,2014,4532418.86,10,2109,Low,Y,ISO9001
SUP0028,Malaysia Mechanical Co. 28,MY,Malaysia,Asia,Mechanical Parts,Tier 1,1994,30941708.51,42,2689,Medium,N,"ISO9001,ISO14001"
SUP0029,Mexico Packaging Ltd 29,MX,Mexico,North America,Packaging,Tier 1,1991,37073066.07,12,8185,High,N,ISO9001
SUP0030,Malaysia Electronic Group 30,MY,Malaysia,Asia,Electronic Components,Tier 1,2016,22470524.16,41,1363,Low,N,ISO14001
SUP0031,Italy Logistics Co. 31,IT,Italy,Europe,Logistics,Tier 1,2017,2757229.57,28,383,Medium,N,ISO14001
SUP0032,Vietnam Logistics Ltd 32,VN,Vietnam,Asia,Logistics,Tier 1,1987,24875946.87,7,710,Medium,Y,None
SUP0033,Italy Chemicals Group 33,IT,Italy,Europe,Chemicals,Tier 1,2004,40787515.03,42,3763,High,Y,None
SUP0034,Vietnam Textiles Co. 34,VN,Vietnam,Asia,Textiles,Tier 2,2012,35922826.87,17,2903,High,N,ISO9001
SUP0035,Thailand Logistics Ltd 35,TH,Thailand,Asia,Logistics,Tier 1,2016,5150846.92,3,9316,Low,N,ISO14001
SUP0036,Vietnam Raw Group 36,VN,Vietnam,Asia,Raw Materials,Tier 1,1991,29197832.25,30,2488,Low,N,ISO9001
SUP0037,Mexico Plastics Co. 37,MX,Mexico,North America,Plastics,Tier 1,1990,29617281.77,24,7171,Low,N,IATF16949
SUP0038,South Korea Mechanical Ltd 38,KR,South Korea,Asia,Mechanical Parts,Tier 1,2016,24489683.88,9,7198,High,Y,ISO14001
SUP0039,Indonesia Packaging Group 39,ID,Indonesia,Asia,Packaging,Tier 1,1996,8808223.16,36,8315,High,Y,ISO14001
SUP0040,United States Textiles Co. 40,US,United States,North America,Textiles,Tier 2,2013,28289425.6,18,4154,Medium,N,"ISO9001,ISO14001"
SUP0041,Poland Electronic Ltd 41,PL,Poland,Europe,Electronic Components,Tier 3,1981,47193599.02,30,1068,Medium,Y,ISO9001
SUP0042,Mexico Mechanical Group 42,MX,Mexico,North America,Mechanical Parts,Tier 1,1996,1001751.8,36,4888,Low,N,ISO9001
SUP0043,South Korea Textiles Co. 43,KR,South Korea,Asia,Textiles,Tier 1,1999,26777381.61,15,7462,Low,N,ISO9001
SUP0044,Poland Mechanical Ltd 44,PL,Poland,Europe,Mechanical Parts,Tier 2,1985,41823757.5,27,345,Medium,N,AS9100
SUP0045,Japan Electronic Group 45,JP,Japan,Asia,Electronic Components,Tier 1,1981,9209147.33,17,5678,High,N,ISO9001
SUP0046,United States Textiles Co. 46,US,United States,North America,Textiles,Tier 1,2007,4507754.72,26,8195,Medium,N,AS9100
SUP0047,Canada Logistics Ltd 47,CA,Canada,North America,Logistics,Tier 1,2002,40515778.17,20,8752,Low,Y,ISO9001
SUP0048,Vietnam Chemicals Group 48,VN,Vietnam,Asia,Chemicals,Tier 2,1986,13913567.51,22,4033,Low,N,AS9100
SUP0049,United States Logistics Co. 49,US,United States,North America,Logistics,Tier 1,2004,6536515.34,4,4675,Medium,N,None
SUP0050,France Chemicals Ltd 50,FR,France,Europe,Chemicals,Tier 2,1995,30446151.01,37,1784,Medium,N,ISO14001
