disruption_id,supplier_id,disruption_type,severity,start_date,end_date,duration_days,fiscal_year,fiscal_month,financial_loss_usd,is_resolved,alternative_supplier_activated
DIS00001,SUP0040,Quality Recall,Medium,2023-04-16,2023-05-23,37,2023,4,3446851.89,N,N
DIS00002,SUP0092,Port Strike,Medium,2023-09-11,2023-09-29,18,2023,9,3040125.03,N,Y
DIS00003,SUP0097,Supplier Bankruptcy,High,2024-05-03,2024-07-22,80,2024,5,3905194.05,Y,N
DIS00004,SUP0021,Geopolitical,Medium,2022-10-27,2023-01-18,83,2022,10,284987.47,Y,Y
DIS00005,SUP0031,Logistics Delay,Low,2022-01-12,2022-03-18,65,2022,1,3178725.49,Y,N
DIS00006,SUP0119,Supplier Bankruptcy,High,2021-07-22,2021-08-26,35,2021,7,4706696.77,N,Y
DIS00007,SUP0050,Supplier Bankruptcy,Critical,2021-10-19,2021-12-29,71,2021,10,678266.99,Y,N
DIS00008,SUP0113,Quality Recall,Medium,2023-11-03,2024-01-26,84,2023,11,2429234.31,Y,Y
DIS00009,SUP0040,Cyber Attack,Medium,2024-05-15,2024-08-04,81,2024,5,1893866.06,Y,Y
DIS00010,SUP0051,Natural Disaster,Medium,2024-08-13,2024-11-04,83,2024,8,4697792.76,Y,Y
DIS00011,SUP0014,Cyber Attack,High,2023-05-14,2023-05-23,9,2023,5,4819739.66,Y,N
DIS00012,SUP0101,Port Strike,Medium,2023-06-12,2023-07-10,28,2023,6,2130807.78,Y,Y
DIS00013,SUP0112,Raw Material Shortage,Low,2022-02-05,2022-04-30,84,2022,2,4442225.81,Y,N
DIS00014,SUP0009,Natural Disaster,Medium,2022-09-27,2022-11-09,43,2022,9,1120012.11,Y,N
DIS00015,SUP0052,Raw Material Shortage,Critical,2021-07-10,2021-08-13,34,2021,7,1471366.36,Y,Y
DIS00016,SUP0044,Quality Recall,Medium,2024-04-03,2024-06-23,81,2024,4,3299335.25,Y,Y
DIS00017,SUP0113,Pandemic,High,2021-12-28,2022-01-30,33,2021,12,4791902.86,Y,Y
DIS00018,SUP0097,Port Strike,Low,2022-03-15,2022-05-12,58,2022,3,1126006.27,N,Y
DIS00019,SUP0093,Logistics Delay,Low,2024-05-01,2024-06-16,46,2024,5,3899625.21,Y,N
DIS00020,SUP0037,Geopolitical,Medium,2022-10-01,2022-12-21,81,2022,10,3312372.47,N,N
DIS00021,SUP0016,Geopolitical,High,2023-05-05,2023-06-01,27,2023,5,4441056.62,Y,N
DIS00022,SUP0046,Cyber Attack,Low,2023-06-17,2023-08-06,50,2023,6,857756.67,Y,N
DIS00023,SUP0051,Raw Material Shortage,High,2023-08-14,2023-11-12,90,2023,8,3166660.92,Y,Y
DIS00024,SUP0029,Supplier Bankruptcy,Critical,2022-09-18,2022-10-22,34,2022,9,3825474.85,Y,N
DIS00025,SUP0047,Supplier Bankruptcy,Critical,2024-10-27,2024-11-23,27,2024,10,676759.98,Y,N
DIS00026,SUP0113,Geopolitical,High,2023-09-23,2023-11-19,57,2023,9,807445.31,Y,Y
DIS00027,SUP0049,Quality Recall,Low,2021-11-28,2021-12-30,32,2021,11,3622632.79,Y,N
DIS00028,SUP0092,Port Strike,Medium,2021-01-08,2021-02-07,30,2021,1,2435872.86,N,N
DIS00029,SUP0015,Logistics Delay,Medium,2024-09-02,2024-10-12,40,2024,9,1449583.61,Y,N
DIS00030,SUP0084,Raw Material Shortage,Medium,2023-03-01,2023-04-07,37,2023,3,1304435.38,Y,N
DIS00031,SUP0118,Logistics Delay,Medium,2022-06-03,2022-08-04,62,2022,6,1868938.74,Y,N
DIS00032,SUP0024,Natural Disaster,High,2023-01-21,2023-04-10,79,2023,1,2048175.35,N,Y
DIS00033,SUP0115,Natural Disaster,Critical,2021-12-09,2022-01-24,46,2021,12,177702.76,Y,N
DIS00034,SUP0111,Port Strike,Low,2024-09-03,2024-11-20,78,2024,9,2400684.34,N,N
DIS00035,SUP0068,Natural Disaster,Medium,2021-10-09,2021-12-31,83,2021,10,4994407.57,N,Y
DIS00036,SUP0066,Raw Material Shortage,Medium,2022-06-17,2022-09-01,76,2022,6,4607054.37,N,Y
DIS00037,SUP0059,Logistics Delay,Low,2021-06-28,2021-09-19,83,2021,6,2354868.26,Y,Y
DIS00038,SUP0045,Port Strike,Low,2023-10-02,2023-12-31,90,2023,10,3919464.84,Y,N
DIS00039,SUP0060,Raw Material Shortage,Critical,2023-10-08,2023-11-08,31,2023,10,3366748.26,Y,N
DIS00040,SUP0101,Cyber Attack,High,2024-07-24,2024-08-22,29,2024,7,3996249.06,Y,Y
DIS00041,SUP0056,Logistics Delay,Medium,2021-01-16,2021-03-09,52,2021,1,3997095.65,Y,Y
DIS00042,SUP0119,Pandemic,High,2024-10-14,2025-01-05,83,2024,10,162097.98,Y,N
