inventory_id,plant_id,product_id,current_stock,reorder_point,safety_stock,days_of_stock,is_shortage_risk,fiscal_year
INV00001,PLT001,PRD0015,398,876,244,10.5,N,2024
INV00002,PLT001,PRD0004,4046,484,121,57.5,N,2024
INV00003,PLT001,PRD0009,3741,896,164,42.0,N,2024
INV00004,PLT001,PRD0031,2964,476,170,8.7,N,2024
INV00005,PLT001,PRD0055,3275,264,399,14.3,N,2024
INV00006,PLT001,PRD0048,4004,563,333,26.8,N,2024
INV00007,PLT001,PRD0022,682,928,404,51.6,N,2024
INV00008,PLT001,PRD0049,2978,473,473,59.0,N,2024
INV00009,PLT001,PRD0047,4778,334,391,17.4,N,2024
INV00010,PLT001,PRD0035,4803,613,239,13.9,N,2024
INV00011,PLT001,PRD0003,4109,353,466,26.6,N,2024
INV00012,PLT001,PRD0014,2203,520,204,34.1,N,2024
INV00013,PLT001,PRD0024,1398,528,354,32.4,N,2024
INV00014,PLT001,PRD0038,2200,352,197,36.1,N,2024
INV00015,PLT001,PRD0030,3849,932,259,59.5,N,2024
INV00016,PLT001,PRD0045,2021,821,357,9.6,N,2024
INV00017,PLT001,PRD0013,622,235,133,49.1,N,2024
INV00018,PLT001,PRD0020,4768,488,402,49.2,N,2024
INV00019,PLT001,PRD0012,1075,721,490,58.1,N,2024
INV00020,PLT001,PRD0044,3032,306,221,14.9,N,2024
INV00021,PLT002,PRD0026,4221,258,399,28.8,N,2024
INV00022,PLT002,PRD0010,1642,294,283,40.5,N,2024
INV00023,PLT002,PRD0037,3120,691,455,45.1,N,2024
INV00024,PLT002,PRD0045,2044,499,303,28.0,N,2024
INV00025,PLT002,PRD0060,3012,573,398,50.7,N,2024
INV00026,PLT002,PRD0049,4289,568,287,40.7,N,2024
INV00027,PLT002,PRD0047,2861,479,311,9.3,N,2024
INV00028,PLT002,PRD0035,4989,842,114,42.1,N,2024
INV00029,PLT002,PRD0004,4620,460,448,24.9,N,2024
INV00030,PLT002,PRD0048,2680,820,126,4.2,N,2024
INV00031,PLT002,PRD0025,3384,305,393,22.2,N,2024
INV00032,PLT002,PRD0052,4864,587,333,48.3,N,2024
INV00033,PLT002,PRD0032,3402,686,298,34.7,N,2024
INV00034,PLT002,PRD0015,3352,730,195,47.4,N,2024
INV00035,PLT002,PRD0023,393,524,144,23.7,N,2024
INV00036,PLT002,PRD0013,1340,901,188,14.6,N,2024
INV00037,PLT002,PRD0046,4784,686,225,35.9,N,2024
INV00038,PLT002,PRD0017,1010,403,297,33.0,N,2024
INV00039,PLT002,PRD0030,3082,904,391,24.2,N,2024
INV00040,PLT002,PRD0055,1792,701,393,25.9,N,2024
INV00041,PLT003,PRD0017,1773,240,493,13.3,N,2024
INV00042,PLT003,PRD0029,1722,230,189,52.2,N,2024
INV00043,PLT003,PRD0051,795,580,399,51.8,N,2024
INV00044,PLT003,PRD0023,4586,386,147,50.7,N,2024
INV00045,PLT003,PRD0040,1827,461,147,37.9,N,2024
INV00046,PLT003,PRD0046,472,326,472,18.9,N,2024
INV00047,PLT003,PRD0021,3086,390,439,33.3,N,2024
INV00048,PLT003,PRD0003,1574,827,385,33.6,N,2024
INV00049,PLT003,PRD0037,3235,892,423,59.5,N,2024
INV00050,PLT003,PRD0010,1102,529,288,24.3,N,2024
INV00051,PLT003,PRD0035,907,447,425,2.0,N,2024
INV00052,PLT003,PRD0043,845,524,283,37.9,N,2024
INV00053,PLT003,PRD0045,4457,907,133,26.0,N,2024
INV00054,PLT003,PRD0036,4776,831,412,50.0,N,2024
INV00055,PLT003,PRD0041,1177,637,383,38.8,N,2024
INV00056,PLT003,PRD0009,1469,942,348,26.2,N,2024
INV00057,PLT003,PRD0012,645,850,449,24.7,N,2024
INV00058,PLT003,PRD0042,4437,582,374,39.5,N,2024
INV00059,PLT003,PRD0024,3884,298,303,47.4,N,2024
INV00060,PLT003,PRD0032,2171,412,161,37.8,N,2024
INV00061,PLT004,PRD0020,422,924,209,7.2,N,2024
INV00062,PLT004,PRD0043,1458,456,279,21.3,N,2024
INV00063,PLT004,PRD0052,4591,258,254,44.6,N,2024
INV00064,PLT004,PRD0045,750,218,264,37.2,N,2024
INV00065,PLT004,PRD0005,3437,240,221,7.1,N,2024
INV00066,PLT004,PRD0030,1704,597,282,2.9,N,2024
INV00067,PLT004,PRD0048,216,970,429,33.8,Y,2024
INV00068,PLT004,PRD0039,825,923,130,26.7,N,2024
INV00069,PLT004,PRD0037,1938,475,447,22.1,N,2024
INV00070,PLT004,PRD0017,1645,469,369,31.3,N,2024
INV00071,PLT004,PRD0001,2342,580,200,30.6,N,2024
INV00072,PLT004,PRD0022,1196,914,350,19.5,N,2024
INV00073,PLT004,PRD0007,4656,727,106,57.4,N,2024
INV00074,PLT004,PRD0042,4571,498,240,4.8,N,2024
INV00075,PLT004,PRD0012,1003,884,338,56.5,N,2024
INV00076,PLT004,PRD0041,3713,280,360,26.3,N,2024
INV00077,PLT004,PRD0024,4555,843,122,50.3,N,2024
INV00078,PLT004,PRD0028,1492,633,200,37.6,N,2024
INV00079,PLT004,PRD0053,4599,769,229,19.1,N,2024
INV00080,PLT004,PRD0031,4555,700,169,52.5,N,2024
INV00081,PLT005,PRD0047,3414,388,253,24.4,N,2024
INV00082,PLT005,PRD0046,2011,688,134,56.1,N,2024
INV00083,PLT005,PRD0028,2422,592,305,31.4,N,2024
INV00084,PLT005,PRD0035,2578,934,111,11.9,N,2024
INV00085,PLT005,PRD0012,1043,202,144,10.3,N,2024
INV00086,PLT005,PRD0053,212,530,355,42.7,Y,2024
INV00087,PLT005,PRD0007,4532,646,281,24.2,N,2024
INV00088,PLT005,PRD0043,3775,548,340,27.0,N,2024
INV00089,PLT005,PRD0056,188,904,200,24.1,Y,2024
INV00090,PLT005,PRD0026,778,399,265,49.6,N,2024
INV00091,PLT005,PRD0001,3699,304,427,21.7,N,2024
INV00092,PLT005,PRD0014,283,622,448,13.2,Y,2024
INV00093,PLT005,PRD0054,4906,397,120,27.1,N,2024
INV00094,PLT005,PRD0004,4253,342,304,37.1,N,2024
INV00095,PLT005,PRD0013,4059,871,313,58.9,N,2024
INV00096,PLT005,PRD0019,1435,817,171,41.5,N,2024
INV00097,PLT005,PRD0049,4421,773,370,43.4,N,2024
INV00098,PLT005,PRD0034,4705,362,430,28.1,N,2024
INV00099,PLT005,PRD0042,3501,647,429,19.4,N,2024
