po_id,supplier_id,product_id,plant_id,order_date,fiscal_year,fiscal_month,scheduled_delivery,actual_delivery,delay_days,quantity_ordered,unit_price_usd,total_value_usd,status,defect_rate_pct,on_time_delivery
PO000001,SUP0019,PRD0047,PLT002,2022-11-02,2022,11,2022-11-24,2022-12-23,29,789,1232.99,972829.11,Delayed,4.17,N
PO000002,SUP0039,PRD0033,PLT002,2024-04-05,2024,4,2024-05-11,2024-05-11,0,3059,1376.99,4212212.41,Delivered,7.77,Y
PO000003,SUP0034,PRD0057,PLT007,2021-04-27,2021,4,2021-05-14,2021-05-14,0,4119,1387.06,5713300.14,Delivered,5.14,Y
PO000004,SUP0070,PRD0038,PLT005,2024-11-04,2024,11,2024-11-26,2024-11-26,0,1423,1216.07,1730467.61,Delivered,7.01,Y
PO000005,SUP0045,PRD0033,PLT008,2022-10-21,2022,10,2022-11-07,2022-11-07,0,3242,1409.93,4570993.06,Delivered,1.58,Y
PO000006,SUP0078,PRD0022,PLT005,2024-02-01,2024,2,2024-02-05,2024-02-05,0,489,685.15,335038.35,Delivered,7.08,Y
PO000007,SUP0039,PRD0020,PLT002,2022-10-02,2022,10,2022-11-07,2022-11-23,16,4829,1691.81,8169750.49,Delivered,1.82,N
PO000008,SUP0056,PRD0012,PLT004,2021-10-02,2021,10,2021-11-02,2021-11-02,0,126,655.54,82598.04,Delayed,3.58,Y
PO000009,SUP0091,PRD0024,PLT004,2022-07-08,2022,7,2022-08-01,2022-08-01,0,4853,555.07,2693754.71,In Transit,1.87,Y
PO000010,SUP0106,PRD0007,PLT006,2021-01-24,2021,1,2021-02-15,2021-02-13,-2,3362,372.7,1253017.4,Cancelled,4.52,Y
PO000011,SUP0012,PRD0053,PLT004,2023-08-19,2023,8,2023-08-24,2023-08-24,0,2196,810.81,1780538.76,Delayed,2.47,Y
PO000012,SUP0059,PRD0050,PLT005,2023-08-28,2023,8,2023-09-05,2023-09-05,0,4360,447.8,1952408.0,Delayed,5.59,Y
PO000013,SUP0071,PRD0009,PLT006,2022-10-24,2022,10,2022-11-15,2022-11-15,0,3525,1736.87,6122466.75,Delivered,3.52,Y
PO000014,SUP0038,PRD0020,PLT005,2023-04-09,2023,4,2023-04-18,2023-04-19,1,2537,109.67,278232.79,Delayed,5.39,N
PO000015,SUP0025,PRD0050,PLT008,2021-07-06,2021,7,2021-07-23,2021-07-23,0,3881,1192.19,4626889.39,Delivered,0.43,Y
PO000016,SUP0072,PRD0032,PLT004,2021-02-02,2021,2,2021-02-27,2021-03-27,28,1997,1190.31,2377049.07,Delivered,5.49,N
PO000017,SUP0090,PRD0022,PLT007,2021-02-04,2021,2,2021-02-20,2021-02-20,0,1770,1113.05,1970098.5,In Transit,5.03,Y
PO000018,SUP0019,PRD0036,PLT004,2023-03-10,2023,3,2023-04-01,2023-03-28,-4,3106,684.32,2125497.92,Delivered,0.52,Y
PO000019,SUP0068,PRD0024,PLT005,2024-11-07,2024,11,2024-11-17,2024-12-06,19,2309,1771.16,4089608.44,Delivered,4.58,N
PO000020,SUP0083,PRD0007,PLT006,2021-08-28,2021,8,2021-09-14,2021-09-14,0,958,1664.89,1594964.62,Delivered,1.48,Y
PO000021,SUP0056,PRD0030,PLT006,2021-07-06,2021,7,2021-08-06,2021-08-06,0,3236,648.25,2097737.0,Cancelled,6.07,Y
PO000022,SUP0116,PRD0028,PLT004,2024-05-04,2024,5,2024-05-08,2024-05-08,0,4880,1324.2,6462096.0,Delivered,3.94,Y
PO000023,SUP0118,PRD0019,PLT003,2024-09-13,2024,9,2024-10-13,2024-10-27,14,436,10.25,4469.0,Delivered,4.64,N
PO000024,SUP0007,PRD0028,PLT007,2023-10-11,2023,10,2023-11-07,2023-11-07,0,1111,1079.86,1199724.46,Delivered,3.52,Y
PO000025,SUP0016,PRD0028,PLT008,2022-03-22,2022,3,2022-04-06,2022-05-01,25,106,1755.36,186068.16,Delivered,7.99,N
PO000026,SUP0007,PRD0026,PLT003,2021-07-19,2021,7,2021-08-15,2021-08-23,8,1952,1286.4,2511052.8,In Transit,4.09,N
PO000027,SUP0036,PRD0056,PLT002,2023-12-01,2023,12,2023-12-31,2024-01-03,3,3035,1276.16,3873145.6,In Transit,7.98,N
PO000028,SUP0058,PRD0031,PLT003,2024-02-04,2024,2,2024-03-03,2024-03-15,12,1478,1493.42,2207274.76,Partial,7.18,N
PO000029,SUP0109,PRD0030,PLT007,2022-12-12,2022,12,2023-01-17,2023-01-17,0,322,345.84,111360.48,Delivered,4.56,Y
PO000030,SUP0050,PRD0051,PLT001,2021-10-27,2021,10,2021-12-03,2021-12-03,0,1041,1688.33,1757551.53,Cancelled,2.51,Y
PO000031,SUP0077,PRD0038,PLT001,2021-03-12,2021,3,2021-03-20,2021-03-26,6,3164,150.56,476371.84,Delivered,5.53,N
PO000032,SUP0049,PRD0046,PLT005,2022-11-18,2022,11,2022-11-22,2022-12-04,12,4070,1487.59,6054491.3,Cancelled,7.54,N
PO000033,SUP0017,PRD0036,PLT003,2024-05-23,2024,5,2024-06-27,2024-07-17,20,4675,1357.45,6346078.75,Delivered,4.29,N
PO000034,SUP0051,PRD0025,PLT004,2021-03-10,2021,3,2021-04-20,2021-04-20,0,3479,1040.78,3620873.62,In Transit,0.77,Y
PO000035,SUP0045,PRD0026,PLT001,2021-05-08,2021,5,2021-05-25,2021-05-25,0,2053,1205.54,2474973.62,Cancelled,4.88,Y
PO000036,SUP0119,PRD0033,PLT007,2021-09-26,2021,9,2021-11-05,2021-11-05,0,2616,424.5,1110492.0,Partial,0.33,Y
PO000037,SUP0084,PRD0012,PLT001,2023-01-11,2023,1,2023-01-30,2023-01-30,0,1790,508.05,909409.5,Delivered,3.65,Y
PO000038,SUP0008,PRD0050,PLT003,2024-02-23,2024,2,2024-03-05,2024-03-05,0,4075,699.31,2849688.25,In Transit,3.45,Y
PO000039,SUP0065,PRD0027,PLT004,2022-03-26,2022,3,2022-04-04,2022-04-17,13,4110,1352.35,5558158.5,In Transit,7.01,N
PO000040,SUP0112,PRD0017,PLT002,2022-11-09,2022,11,2022-12-08,2022-12-08,0,277,1104.8,306029.6,In Transit,7.0,Y
PO000041,SUP0031,PRD0026,PLT004,2021-08-28,2021,8,2021-09-25,2021-10-19,24,1282,229.56,294295.92,In Transit,5.99,N
PO000042,SUP0105,PRD0029,PLT002,2024-04-19,2024,4,2024-05-30,2024-05-30,0,3825,233.18,891913.5,Partial,1.37,Y
PO000043,SUP0042,PRD0002,PLT008,2024-06-08,2024,6,2024-07-14,2024-07-14,0,3508,1716.49,6021446.92,Delayed,3.35,Y
PO000044,SUP0015,PRD0018,PLT002,2022-02-03,2022,2,2022-03-16,2022-03-16,0,1254,653.74,819789.96,Delivered,4.9,Y
PO000045,SUP0098,PRD0042,PLT006,2021-06-03,2021,6,2021-07-13,2021-07-23,10,2065,33.53,69239.45,Delivered,3.84,N
PO000046,SUP0114,PRD0043,PLT007,2022-07-21,2022,7,2022-08-14,2022-08-14,0,4777,389.8,1862074.6,In Transit,5.16,Y
PO000047,SUP0083,PRD0019,PLT002,2021-02-07,2021,2,2021-02-24,2021-02-24,0,3756,1740.01,6535477.56,Cancelled,6.51,Y
PO000048,SUP0076,PRD0058,PLT006,2021-11-24,2021,11,2021-11-29,2021-11-29,0,3283,60.06,197176.98,Partial,6.82,Y
PO000049,SUP0048,PRD0046,PLT001,2024-08-07,2024,8,2024-08-29,2024-09-14,16,220,380.08,83617.6,Delivered,7.21,N
PO000050,SUP0080,PRD0058,PLT007,2024-03-28,2024,3,2024-04-17,2024-05-12,25,622,635.88,395517.36,In Transit,7.15,N
PO000051,SUP0057,PRD0054,PLT003,2023-06-16,2023,6,2023-07-21,2023-07-18,-3,1316,76.8,101068.8,In Transit,5.97,Y
PO000052,SUP0042,PRD0054,PLT004,2024-02-26,2024,2,2024-04-02,2024-04-19,17,2264,142.58,322801.12,Partial,2.1,N
PO000053,SUP0019,PRD0054,PLT005,2023-08-04,2023,8,2023-08-26,2023-08-26,0,2553,433.0,1105449.0,Cancelled,0.08,Y
PO000054,SUP0017,PRD0045,PLT001,2023-08-06,2023,8,2023-09-10,2023-09-08,-2,4039,27.27,110143.53,Delivered,4.71,Y
PO000055,SUP0036,PRD0042,PLT002,2021-02-11,2021,2,2021-03-13,2021-04-12,30,1480,1780.98,2635850.4,Partial,1.74,N
PO000056,SUP0089,PRD0012,PLT002,2023-08-27,2023,8,2023-09-15,2023-09-15,0,354,398.44,141047.76,Cancelled,6.25,Y
PO000057,SUP0103,PRD0055,PLT003,2021-06-27,2021,6,2021-07-02,2021-07-02,0,2100,195.0,409500.0,Delivered,4.28,Y
PO000058,SUP0044,PRD0051,PLT007,2021-08-03,2021,8,2021-08-30,2021-08-28,-2,3890,216.01,840278.9,Partial,3.89,Y
PO000059,SUP0031,PRD0053,PLT004,2023-04-05,2023,4,2023-05-03,2023-05-03,0,187,598.38,111897.06,Delivered,7.91,Y
PO000060,SUP0090,PRD0056,PLT008,2024-09-22,2024,9,2024-10-08,2024-10-08,0,1087,1140.15,1239343.05,Delivered,4.46,Y
PO000061,SUP0115,PRD0049,PLT004,2023-07-14,2023,7,2023-07-25,2023-07-25,0,1643,234.04,384527.72,Cancelled,7.64,Y
PO000062,SUP0012,PRD0022,PLT003,2023-11-18,2023,11,2023-11-23,2023-11-23,0,2556,1313.42,3357101.52,Cancelled,5.32,Y
PO000063,SUP0001,PRD0011,PLT004,2021-11-07,2021,11,2021-11-18,2021-11-18,0,2923,477.37,1395352.51,In Transit,4.82,Y
PO000064,SUP0013,PRD0042,PLT004,2024-08-10,2024,8,2024-09-02,2024-09-02,0,2831,577.82,1635808.42,Partial,2.07,Y
PO000065,SUP0057,PRD0035,PLT006,2023-10-07,2023,10,2023-11-11,2023-11-11,0,1933,515.26,995997.58,Cancelled,5.91,Y
PO000066,SUP0007,PRD0032,PLT005,2024-08-01,2024,8,2024-08-28,2024-08-28,0,3945,469.05,1850402.25,Cancelled,1.86,Y
PO000067,SUP0063,PRD0033,PLT005,2023-07-14,2023,7,2023-08-24,2023-08-24,0,2202,1731.24,3812190.48,In Transit,2.86,Y
PO000068,SUP0018,PRD0013,PLT003,2024-09-15,2024,9,2024-10-04,2024-10-04,0,1378,906.97,1249804.66,Delivered,6.43,Y
PO000069,SUP0072,PRD0029,PLT005,2021-10-02,2021,10,2021-10-27,2021-10-27,0,3427,1300.15,4455614.05,In Transit,4.42,Y
PO000070,SUP0057,PRD0034,PLT008,2021-10-06,2021,10,2021-11-10,2021-12-10,30,1283,660.09,846895.47,Delivered,7.47,N
PO000071,SUP0031,PRD0002,PLT004,2022-07-08,2022,7,2022-08-05,2022-08-05,0,2942,1949.46,5735311.32,Delayed,7.66,Y
PO000072,SUP0114,PRD0034,PLT003,2021-02-14,2021,2,2021-03-10,2021-03-10,0,3424,640.61,2193448.64,Delivered,0.01,Y
PO000073,SUP0043,PRD0015,PLT001,2023-06-07,2023,6,2023-06-22,2023-06-28,6,4415,996.39,4399061.85,Delivered,1.41,N
PO000074,SUP0016,PRD0032,PLT003,2022-02-13,2022,2,2022-02-28,2022-02-28,0,805,372.31,299709.55,Delivered,3.96,Y
PO000075,SUP0019,PRD0030,PLT005,2023-12-28,2023,12,2024-01-19,2024-01-19,0,4899,1927.75,9444047.25,Delayed,2.91,Y
PO000076,SUP0055,PRD0013,PLT002,2022-08-25,2022,8,2022-10-05,2022-10-05,0,1025,446.17,457324.25,Cancelled,1.87,Y
PO000077,SUP0039,PRD0055,PLT008,2022-05-08,2022,5,2022-06-13,2022-06-13,0,4423,970.68,4293317.64,Delivered,0.28,Y
PO000078,SUP0035,PRD0016,PLT002,2024-02-21,2024,2,2024-02-24,2024-02-24,0,1415,779.77,1103374.55,Delivered,7.59,Y
PO000079,SUP0059,PRD0027,PLT005,2021-09-07,2021,9,2021-09-15,2021-09-15,0,1259,322.46,405977.14,Cancelled,4.76,Y
PO000080,SUP0017,PRD0017,PLT005,2023-01-16,2023,1,2023-02-20,2023-02-20,0,2787,914.98,2550049.26,Delivered,5.22,Y
PO000081,SUP0084,PRD0057,PLT003,2022-05-19,2022,5,2022-06-07,2022-06-07,0,816,1778.24,1451043.84,Delayed,5.05,Y
PO000082,SUP0101,PRD0007,PLT003,2022-08-10,2022,8,2022-09-21,2022-09-21,0,4574,1857.41,8495793.34,Cancelled,7.81,Y
PO000083,SUP0080,PRD0027,PLT001,2024-12-07,2024,12,2024-12-27,2024-12-27,0,337,1125.77,379384.49,Delivered,6.64,Y
PO000084,SUP0107,PRD0002,PLT002,2024-04-14,2024,4,2024-05-28,2024-05-28,0,3757,1307.89,4913742.73,Delivered,0.51,Y
PO000085,SUP0014,PRD0005,PLT008,2023-05-16,2023,5,2023-06-08,2023-06-08,0,2830,787.3,2228059.0,Delivered,5.4,Y
PO000086,SUP0054,PRD0029,PLT005,2021-01-02,2021,1,2021-01-31,2021-01-31,0,2429,1374.9,3339632.1,Cancelled,6.72,Y
PO000087,SUP0012,PRD0046,PLT008,2022-04-23,2022,4,2022-04-28,2022-04-27,-1,1927,1395.67,2689456.09,Cancelled,0.76,Y
PO000088,SUP0074,PRD0022,PLT006,2023-08-04,2023,8,2023-08-15,2023-08-15,0,1214,1518.57,1843543.98,Delivered,6.57,Y
PO000089,SUP0105,PRD0024,PLT002,2024-11-12,2024,11,2024-12-23,2024-12-23,0,4460,1718.99,7666695.4,Delivered,7.98,Y
PO000090,SUP0086,PRD0039,PLT004,2024-11-25,2024,11,2024-12-31,2025-01-20,20,2534,379.51,961678.34,Delivered,5.5,N
PO000091,SUP0019,PRD0054,PLT003,2021-07-02,2021,7,2021-07-24,2021-07-24,0,748,589.94,441275.12,Delayed,5.61,Y
PO000092,SUP0014,PRD0043,PLT004,2021-12-03,2021,12,2021-12-26,2021-12-26,0,3256,1213.02,3949593.12,Delivered,1.5,Y
PO000093,SUP0107,PRD0013,PLT002,2023-11-12,2023,11,2023-12-26,2023-12-26,0,2535,1425.08,3612577.8,Partial,7.86,Y
PO000094,SUP0021,PRD0037,PLT003,2024-09-26,2024,9,2024-10-23,2024-10-23,0,512,1455.87,745405.44,In Transit,6.91,Y
PO000095,SUP0027,PRD0057,PLT007,2021-01-26,2021,1,2021-02-05,2021-02-14,9,2172,1795.34,3899478.48,Delivered,0.91,N
PO000096,SUP0059,PRD0018,PLT002,2024-03-02,2024,3,2024-03-10,2024-03-16,6,4738,1162.35,5507214.3,Delivered,3.51,N
PO000097,SUP0001,PRD0005,PLT002,2023-10-01,2023,10,2023-10-12,2023-10-12,0,427,1228.56,524595.12,Delayed,1.39,Y
PO000098,SUP0030,PRD0002,PLT002,2021-06-21,2021,6,2021-08-01,2021-08-01,0,1208,144.69,174785.52,Delayed,7.27,Y
PO000099,SUP0116,PRD0027,PLT004,2023-11-27,2023,11,2023-12-01,2023-12-25,24,1559,135.81,211727.79,In Transit,6.44,N
PO000100,SUP0088,PRD0004,PLT001,2023-03-20,2023,3,2023-03-30,2023-03-30,0,4772,451.01,2152219.72,Delivered,2.07,Y
PO000101,SUP0051,PRD0040,PLT003,2023-09-28,2023,9,2023-11-08,2023-11-10,2,504,478.65,241239.6,In Transit,4.47,N
PO000102,SUP0105,PRD0029,PLT001,2021-02-24,2021,2,2021-04-06,2021-04-06,0,1408,555.55,782214.4,Delayed,6.32,Y
PO000103,SUP0074,PRD0060,PLT002,2023-10-09,2023,10,2023-10-20,2023-10-26,6,4382,1186.85,5200776.7,Delayed,6.16,N
