edge_id,source_supplier_id,target_supplier_id,dependency_type,annual_flow_usd,is_critical_path
NET00001,SUP0005,SUP0042,Sub-Component,410821.45,N
NET00002,SUP0088,SUP0039,Raw Material,1296521.3,N
NET00003,SUP0072,SUP0060,Packaging,1486291.77,Y
NET00004,SUP0091,SUP0032,Raw Material,1805111.74,N
NET00005,SUP0092,SUP0056,Raw Material,846847.43,Y
NET00006,SUP0002,SUP0038,Packaging,1490871.34,Y
NET00007,SUP0105,SUP0040,Raw Material,1875499.81,Y
NET00008,SUP0024,SUP0039,Sub-Component,783574.89,Y
NET00009,SUP0016,SUP0097,Logistics,876407.94,Y
NET00010,SUP0036,SUP0112,Sub-Component,752949.72,N
NET00011,SUP0115,SUP0091,Logistics,1629017.95,Y
NET00012,SUP0069,SUP0100,Logistics,577636.06,N
NET00013,SUP0026,SUP0057,Packaging,755726.06,N
NET00014,SUP0055,SUP0094,Logistics,758730.82,N
NET00015,SUP0098,SUP0011,Raw Material,1213531.75,Y
NET00016,SUP0061,SUP0046,Logistics,1645083.44,N
NET00017,SUP0108,SUP0037,Packaging,1803834.28,N
NET00018,SUP0088,SUP0056,Logistics,648626.18,N
NET00019,SUP0117,SUP0084,Logistics,1021703.17,Y
NET00020,SUP0077,SUP0003,Sub-Component,450009.85,N
NET00021,SUP0046,SUP0060,Raw Material,1098729.04,N
NET00022,SUP0061,SUP0087,Sub-Component,726939.25,Y
NET00023,SUP0110,SUP0119,Packaging,970740.7,N
NET00024,SUP0020,SUP0106,Packaging,695933.96,Y
NET00025,SUP0114,SUP0100,Packaging,1009984.39,N
NET00026,SUP0058,SUP0002,Sub-Component,1666722.35,Y
NET00027,SUP0076,SUP0108,Logistics,1526153.04,Y
NET00028,SUP0119,SUP0045,Sub-Component,330884.77,Y
NET00029,SUP0056,SUP0071,Logistics,756019.36,Y
NET00030,SUP0100,SUP0106,Sub-Component,844261.51,Y
NET00031,SUP0045,SUP0001,Logistics,535821.33,Y
NET00032,SUP0095,SUP0053,Logistics,1161068.4,N
NET00033,SUP0088,SUP0097,Packaging,1786203.59,Y
NET00034,SUP0071,SUP0118,Raw Material,1339193.15,N
NET00035,SUP0049,SUP0014,Sub-Component,231220.79,Y
NET00036,SUP0063,SUP0059,Sub-Component,260443.61,N
NET00037,SUP0114,SUP0025,Sub-Component,965588.24,N
NET00038,SUP0094,SUP0105,Logistics,1587902.57,N
NET00039,SUP0094,SUP0083,Logistics,1237185.26,N
NET00040,SUP0079,SUP0043,Logistics,781423.83,N
NET00041,SUP0101,SUP0053,Raw Material,1245730.26,N
NET00042,SUP0022,SUP0033,Raw Material,820259.55,Y
NET00043,SUP0035,SUP0062,Raw Material,582637.09,Y
NET00044,SUP0050,SUP0076,Raw Material,1078291.42,Y
NET00045,SUP0020,SUP0094,Logistics,1277479.34,N
NET00046,SUP0082,SUP0053,Packaging,1540672.87,Y
NET00047,SUP0102,SUP0098,Packaging,1269079.59,Y
NET00048,SUP0046,SUP0091,Packaging,1755503.09,N
NET00049,SUP0064,SUP0101,Packaging,233878.87,Y
NET00050,SUP0066,SUP0027,Raw Material,461877.18,Y
NET00051,SUP0042,SUP0067,Logistics,1165964.19,N
NET00052,SUP0061,SUP0047,Logistics,1267896.41,N
NET00053,SUP0062,SUP0100,Logistics,707965.68,N
NET00054,SUP0029,SUP0120,Sub-Component,123633.59,N
NET00055,SUP0117,SUP0043,Logistics,813444.93,N
NET00056,SUP0116,SUP0018,Packaging,342707.38,Y
NET00057,SUP0087,SUP0076,Packaging,1873136.31,N
NET00058,SUP0047,SUP0007,Packaging,42667.23,N
NET00059,SUP0044,SUP0043,Packaging,1080251.48,N
NET00060,SUP0086,SUP0096,Sub-Component,533781.04,N
NET00061,SUP0010,SUP0032,Logistics,560521.87,N
NET00062,SUP0014,SUP0037,Packaging,1811497.79,N
NET00063,SUP0004,SUP0050,Sub-Component,1231092.31,N
NET00064,SUP0046,SUP0052,Raw Material,1230106.81,N
NET00065,SUP0024,SUP0031,Raw Material,89313.82,N
NET00066,SUP0082,SUP0107,Packaging,122067.58,Y
NET00067,SUP0071,SUP0114,Sub-Component,1636440.45,Y
NET00068,SUP0109,SUP0104,Logistics,669682.59,Y
NET00069,SUP0032,SUP0035,Packaging,973067.32,N
NET00070,SUP0103,SUP0091,Sub-Component,1203322.96,N
NET00071,SUP0058,SUP0039,Raw Material,657659.1,N
NET00072,SUP0117,SUP0032,Sub-Component,310034.13,Y
NET00073,SUP0034,SUP0045,Raw Material,936158.87,N
NET00074,SUP0021,SUP0019,Raw Material,1329096.09,Y
NET00075,SUP0048,SUP0087,Logistics,274084.91,N
NET00076,SUP0088,SUP0063,Raw Material,941018.83,Y
NET00077,SUP0080,SUP0082,Packaging,622255.26,Y
NET00078,SUP0085,SUP0108,Packaging,515849.02,N
NET00079,SUP0084,SUP0117,Raw Material,1886999.33,N
NET00080,SUP0102,SUP0029,Raw Material,1900929.12,N
NET00081,SUP0045,SUP0006,Raw Material,475280.78,N
NET00082,SUP0115,SUP0049,Raw Material,1455502.85,N
NET00083,SUP0120,SUP0041,Sub-Component,885745.89,N
NET00084,SUP0098,SUP0062,Raw Material,1247915.08,N
NET00085,SUP0100,SUP0055,Logistics,1214636.68,Y
NET00086,SUP0101,SUP0088,Logistics,1327408.13,Y
NET00087,SUP0025,SUP0013,Sub-Component,1270327.58,Y
NET00088,SUP0118,SUP0048,Raw Material,975019.95,N
NET00089,SUP0021,SUP0056,Raw Material,623664.24,Y
NET00090,SUP0108,SUP0111,Raw Material,1150843.98,N
