score_id,supplier_id,fiscal_year,quarter,otd_score,quality_score,cost_score,responsiveness_score,sustainability_score,composite_score,incidents_reported
SC000001,SUP0001,2021,1,83.24,96.23,75.43,69.98,77.79,83.7,5
SC000002,SUP0001,2021,2,97.23,88.06,80.66,70.45,79.69,86.73,3
SC000003,SUP0001,2021,3,82.02,98.87,86.87,84.16,85.27,88.58,2
SC000004,SUP0001,2021,4,91.83,99.8,76.13,97.25,96.23,92.06,3
SC000005,SUP0001,2022,1,82.31,94.99,72.54,97.45,63.83,83.83,1
SC000006,SUP0001,2022,2,65.98,92.23,72.71,82.28,92.51,79.48,2
SC000007,SUP0001,2022,3,55.31,94.98,76.82,74.48,80.91,75.99,2
SC000008,SUP0001,2022,4,99.32,87.18,89.68,67.32,87.02,89.32,5
SC000009,SUP0001,2023,1,67.47,92.12,71.04,99.13,68.61,78.86,3
SC000010,SUP0001,2023,2,89.62,93.77,98.97,80.44,77.31,90.59,2
SC000011,SUP0001,2023,3,76.29,85.08,78.72,84.95,99.85,82.64,1
SC000012,SUP0001,2023,4,61.45,91.53,90.3,93.87,67.15,80.06,3
SC000013,SUP0001,2024,1,67.49,95.28,71.2,62.1,99.48,79.23,5
SC000014,SUP0001,2024,2,66.07,98.05,77.04,71.57,62.48,78.05,0
SC000015,SUP0001,2024,3,68.28,95.0,73.22,65.9,56.99,75.92,4
SC000016,SUP0001,2024,4,74.29,90.14,93.87,72.96,56.57,81.06,4
SC000017,SUP0002,2021,1,88.35,87.67,84.19,83.99,95.14,87.56,4
SC000018,SUP0002,2021,2,90.76,90.84,95.88,90.87,50.58,87.8,3
SC000019,SUP0002,2021,3,83.75,89.39,78.41,84.41,82.49,84.31,5
SC000020,SUP0002,2021,4,78.78,99.83,99.07,65.36,95.46,89.48,2
SC000021,SUP0002,2022,1,72.6,92.75,71.14,67.73,59.85,76.59,0
SC000022,SUP0002,2022,2,82.66,94.56,88.87,84.79,69.66,86.38,5
SC000023,SUP0002,2022,3,98.93,89.89,96.59,77.37,67.16,90.42,0
SC000024,SUP0002,2022,4,78.09,85.65,97.13,96.31,50.17,83.2,4
SC000025,SUP0002,2023,1,68.28,96.59,95.99,98.62,60.84,84.6,0
SC000026,SUP0002,2023,2,78.24,87.9,99.35,60.04,61.94,81.91,2
